会社名,契約番号,契約先,契約種別,開始日,終了日,契約金額,更新区分,管理担当,状態
株式会社中央技研,CTR-26-001,株式会社桜丘ロジスティクス,業務委託契約,2026-04-29,2027-04-27,600000,自動更新,田中 美咲,締結済
株式会社中央技研,CTR-26-002,北浜製作所株式会社,保守契約,2026-04-30,2027-04-27,725000,都度更新,高橋 直樹,更新協議中
株式会社中央技研,CTR-26-003,合同会社六本木デザイン,秘密保持契約,2026-05-01,2027-04-30,850000,更新なし,伊藤 彩,社内審査中
株式会社中央技研,CTR-26-004,株式会社東都メディア,基本取引契約,2026-05-02,2027-05-01,975000,自動更新,渡辺 誠,先方確認中
株式会社中央技研,CTR-26-005,南青山フーズ株式会社,施設管理契約,2026-05-03,2027-05-02,1100000,都度更新,小林 真由,締結済
株式会社中央技研,CTR-26-006,株式会社瑞穂設備,業務委託契約,2026-05-04,2027-05-03,1225000,更新なし,佐藤 陽子,更新協議中
株式会社中央技研,CTR-26-007,港南リサーチ株式会社,保守契約,2026-05-05,2027-05-04,1350000,自動更新,鈴木 健太,社内審査中
株式会社中央技研,CTR-26-008,株式会社千代田ソリューション,秘密保持契約,2026-05-06,2027-05-05,1475000,都度更新,田中 美咲,先方確認中
株式会社中央技研,CTR-26-009,橘建材株式会社,基本取引契約,2026-05-07,2027-05-06,1600000,更新なし,高橋 直樹,締結済
株式会社中央技研,CTR-26-010,京橋データワークス株式会社,施設管理契約,2026-05-08,2027-05-07,1725000,自動更新,伊藤 彩,更新協議中
株式会社中央技研,CTR-26-011,株式会社桜丘ロジスティクス,業務委託契約,2026-05-09,2027-05-08,1850000,都度更新,渡辺 誠,社内審査中
株式会社中央技研,CTR-26-012,北浜製作所株式会社,保守契約,2026-05-10,2027-05-09,1975000,更新なし,小林 真由,先方確認中
株式会社中央技研,CTR-26-013,合同会社六本木デザイン,秘密保持契約,2026-05-11,2027-05-10,600000,自動更新,佐藤 陽子,締結済
株式会社中央技研,CTR-26-014,株式会社東都メディア,基本取引契約,2026-05-12,2027-05-11,725000,都度更新,鈴木 健太,更新協議中
株式会社中央技研,CTR-26-015,南青山フーズ株式会社,施設管理契約,2026-05-13,2027-05-12,850000,更新なし,田中 美咲,社内審査中
株式会社中央技研,CTR-26-016,株式会社瑞穂設備,業務委託契約,2026-05-14,2027-05-13,975000,自動更新,高橋 直樹,先方確認中
株式会社中央技研,CTR-26-017,港南リサーチ株式会社,保守契約,2026-05-15,2027-05-14,1100000,都度更新,伊藤 彩,締結済
株式会社中央技研,CTR-26-018,株式会社千代田ソリューション,秘密保持契約,2026-05-16,2027-05-15,1225000,更新なし,渡辺 誠,更新協議中
株式会社中央技研,CTR-26-019,橘建材株式会社,基本取引契約,2026-05-17,2027-05-16,1350000,自動更新,小林 真由,社内審査中
株式会社中央技研,CTR-26-020,京橋データワークス株式会社,施設管理契約,2026-05-18,2027-05-17,1475000,都度更新,佐藤 陽子,先方確認中
株式会社中央技研,CTR-26-021,株式会社桜丘ロジスティクス,業務委託契約,2026-05-19,2027-05-18,1600000,更新なし,鈴木 健太,締結済
株式会社中央技研,CTR-26-022,北浜製作所株式会社,保守契約,2026-05-20,2027-05-19,1725000,自動更新,田中 美咲,更新協議中
株式会社中央技研,CTR-26-023,合同会社六本木デザイン,秘密保持契約,2026-05-21,2027-05-20,1850000,都度更新,高橋 直樹,社内審査中
株式会社中央技研,CTR-26-024,株式会社東都メディア,基本取引契約,2026-05-22,2027-05-21,1975000,更新なし,伊藤 彩,先方確認中
株式会社中央技研,CTR-26-025,南青山フーズ株式会社,施設管理契約,2026-05-23,2027-05-22,600000,自動更新,渡辺 誠,締結済
