No,日付,分類,関連分類,件名,取引先,部署,担当,金額,状態,メモ
09-001,2026-04-26,会議,見積,契約更新確認 001（見積確認含む）,,法務部,高橋 直樹,16658,差戻し,法務部で確認中。見積に関連する資料と照合予定。
09-002,2026-04-27,会議,報告,営業定例 002（報告確認含む）,,人事部,伊藤 彩,18028,保留,人事部で確認中。報告に関連する資料と照合予定。
09-003,2026-04-28,会議,人事,予算レビュー 003（人事確認含む）,,情報システム部,渡辺 誠,19398,完了,情報システム部で確認中。人事に関連する資料と照合予定。
09-004,2026-04-29,会議,経費,採用進捗 004（経費確認含む）,,管理本部,小林 真由,20768,作成中,管理本部で確認中。経費に関連する資料と照合予定。
09-005,2026-04-30,会議,請求,システム移行 005（請求確認含む）,,経理部,佐藤 陽子,22138,確認待ち,経理部で確認中。請求に関連する資料と照合予定。
09-006,2026-05-01,会議,会議,契約更新確認 006（会議確認含む）,,総務部,鈴木 健太,23508,承認済,総務部で確認中。会議に関連する資料と照合予定。
09-007,2026-05-02,会議,契約,営業定例 007（契約確認含む）,,営業企画部,田中 美咲,24878,差戻し,営業企画部で確認中。契約に関連する資料と照合予定。
09-008,2026-05-03,会議,見積,予算レビュー 008（見積確認含む）,,法務部,高橋 直樹,26248,保留,法務部で確認中。見積に関連する資料と照合予定。
09-009,2026-05-04,会議,報告,採用進捗 009（報告確認含む）,,人事部,伊藤 彩,27618,完了,人事部で確認中。報告に関連する資料と照合予定。
09-010,2026-05-05,会議,人事,システム移行 010（人事確認含む）,,情報システム部,渡辺 誠,28988,作成中,情報システム部で確認中。人事に関連する資料と照合予定。
09-011,2026-05-06,会議,経費,契約更新確認 011（経費確認含む）,,管理本部,小林 真由,30358,確認待ち,管理本部で確認中。経費に関連する資料と照合予定。
09-012,2026-05-07,会議,請求,営業定例 012（請求確認含む）,,経理部,佐藤 陽子,31728,承認済,経理部で確認中。請求に関連する資料と照合予定。
09-013,2026-05-08,会議,会議,予算レビュー 013（会議確認含む）,,総務部,鈴木 健太,33098,差戻し,総務部で確認中。会議に関連する資料と照合予定。
09-014,2026-05-09,会議,契約,採用進捗 014（契約確認含む）,,営業企画部,田中 美咲,34468,保留,営業企画部で確認中。契約に関連する資料と照合予定。
09-015,2026-05-10,会議,見積,システム移行 015（見積確認含む）,,法務部,高橋 直樹,35838,完了,法務部で確認中。見積に関連する資料と照合予定。
09-016,2026-05-11,会議,報告,契約更新確認 016（報告確認含む）,,人事部,伊藤 彩,37208,作成中,人事部で確認中。報告に関連する資料と照合予定。
09-017,2026-05-12,会議,人事,営業定例 017（人事確認含む）,,情報システム部,渡辺 誠,38578,確認待ち,情報システム部で確認中。人事に関連する資料と照合予定。
09-018,2026-05-13,会議,経費,予算レビュー 018（経費確認含む）,,管理本部,小林 真由,39948,承認済,管理本部で確認中。経費に関連する資料と照合予定。
09-019,2026-05-14,会議,請求,採用進捗 019（請求確認含む）,,経理部,佐藤 陽子,41318,差戻し,経理部で確認中。請求に関連する資料と照合予定。
09-020,2026-05-15,会議,会議,システム移行 020（会議確認含む）,,総務部,鈴木 健太,42688,保留,総務部で確認中。会議に関連する資料と照合予定。
