会社名,見積番号,提出日,提出先,案件名,見積額,有効期限,営業担当,状態
東都メディカルサポート株式会社,EST-26-001,2026-04-10,南青山フーズ株式会社,本社 社内ネットワーク更新,350000,2026-05-10,田中 美咲,提出済
東都メディカルサポート株式会社,EST-26-002,2026-04-11,株式会社瑞穂設備,横浜支店 倉庫設備改修,435000,2026-05-11,高橋 直樹,商談中
東都メディカルサポート株式会社,EST-26-003,2026-04-12,港南リサーチ株式会社,大阪営業所 研修プログラム実施,520000,2026-05-12,伊藤 彩,受注
東都メディカルサポート株式会社,EST-26-004,2026-04-13,株式会社千代田ソリューション,名古屋支店 追加ライセンス導入,605000,2026-05-13,渡辺 誠,条件調整中
東都メディカルサポート株式会社,EST-26-005,2026-04-14,橘建材株式会社,福岡営業所 事務所移転支援,690000,2026-05-14,小林 真由,失注
東都メディカルサポート株式会社,EST-26-006,2026-04-15,京橋データワークス株式会社,札幌拠点 保守範囲拡張,775000,2026-05-15,佐藤 陽子,提出済
東都メディカルサポート株式会社,EST-26-007,2026-04-16,株式会社桜丘ロジスティクス,仙台営業所 社内ネットワーク更新,860000,2026-05-16,鈴木 健太,商談中
東都メディカルサポート株式会社,EST-26-008,2026-04-17,北浜製作所株式会社,本社 倉庫設備改修,945000,2026-05-17,田中 美咲,受注
東都メディカルサポート株式会社,EST-26-009,2026-04-18,合同会社六本木デザイン,横浜支店 研修プログラム実施,1030000,2026-05-18,高橋 直樹,条件調整中
東都メディカルサポート株式会社,EST-26-010,2026-04-19,株式会社東都メディア,大阪営業所 追加ライセンス導入,1115000,2026-05-19,伊藤 彩,失注
東都メディカルサポート株式会社,EST-26-011,2026-04-20,南青山フーズ株式会社,名古屋支店 事務所移転支援,350000,2026-05-20,渡辺 誠,提出済
東都メディカルサポート株式会社,EST-26-012,2026-04-21,株式会社瑞穂設備,福岡営業所 保守範囲拡張,435000,2026-05-21,小林 真由,商談中
東都メディカルサポート株式会社,EST-26-013,2026-04-22,港南リサーチ株式会社,札幌拠点 社内ネットワーク更新,520000,2026-05-22,佐藤 陽子,受注
東都メディカルサポート株式会社,EST-26-014,2026-04-23,株式会社千代田ソリューション,仙台営業所 倉庫設備改修,605000,2026-05-23,鈴木 健太,条件調整中
東都メディカルサポート株式会社,EST-26-015,2026-04-24,橘建材株式会社,本社 研修プログラム実施,690000,2026-05-24,田中 美咲,失注
東都メディカルサポート株式会社,EST-26-016,2026-04-25,京橋データワークス株式会社,横浜支店 追加ライセンス導入,775000,2026-05-25,高橋 直樹,提出済
東都メディカルサポート株式会社,EST-26-017,2026-04-26,株式会社桜丘ロジスティクス,大阪営業所 事務所移転支援,860000,2026-05-26,伊藤 彩,商談中
東都メディカルサポート株式会社,EST-26-018,2026-04-27,北浜製作所株式会社,名古屋支店 保守範囲拡張,945000,2026-05-27,渡辺 誠,受注
東都メディカルサポート株式会社,EST-26-019,2026-04-28,合同会社六本木デザイン,福岡営業所 社内ネットワーク更新,1030000,2026-05-28,小林 真由,条件調整中
東都メディカルサポート株式会社,EST-26-020,2026-04-29,株式会社東都メディア,札幌拠点 倉庫設備改修,1115000,2026-05-29,佐藤 陽子,失注
東都メディカルサポート株式会社,EST-26-021,2026-04-30,南青山フーズ株式会社,仙台営業所 研修プログラム実施,350000,2026-05-30,鈴木 健太,提出済
東都メディカルサポート株式会社,EST-26-022,2026-05-01,株式会社瑞穂設備,本社 追加ライセンス導入,435000,2026-05-31,田中 美咲,商談中
東都メディカルサポート株式会社,EST-26-023,2026-05-02,港南リサーチ株式会社,横浜支店 事務所移転支援,520000,2026-06-01,高橋 直樹,受注
東都メディカルサポート株式会社,EST-26-024,2026-05-03,株式会社千代田ソリューション,大阪営業所 保守範囲拡張,605000,2026-06-02,伊藤 彩,条件調整中
