会社名,契約番号,契約先,契約種別,開始日,終了日,契約金額,更新区分,管理担当,状態
株式会社白川プロパティ,CTR-26-001,株式会社東都メディア,業務委託契約,2026-04-07,2027-04-06,600000,自動更新,田中 美咲,締結済
株式会社白川プロパティ,CTR-26-002,南青山フーズ株式会社,保守契約,2026-04-08,2027-04-07,725000,都度更新,高橋 直樹,更新協議中
株式会社白川プロパティ,CTR-26-003,株式会社瑞穂設備,秘密保持契約,2026-04-09,2027-04-08,850000,更新なし,伊藤 彩,社内審査中
株式会社白川プロパティ,CTR-26-004,港南リサーチ株式会社,基本取引契約,2026-04-10,2027-04-09,975000,自動更新,渡辺 誠,先方確認中
株式会社白川プロパティ,CTR-26-005,株式会社千代田ソリューション,施設管理契約,2026-04-11,2027-04-10,1100000,都度更新,小林 真由,締結済
株式会社白川プロパティ,CTR-26-006,橘建材株式会社,業務委託契約,2026-04-12,2027-04-11,1225000,更新なし,佐藤 陽子,更新協議中
株式会社白川プロパティ,CTR-26-007,京橋データワークス株式会社,保守契約,2026-04-13,2027-04-12,1350000,自動更新,鈴木 健太,社内審査中
株式会社白川プロパティ,CTR-26-008,株式会社桜丘ロジスティクス,秘密保持契約,2026-04-14,2027-04-13,1475000,都度更新,田中 美咲,先方確認中
株式会社白川プロパティ,CTR-26-009,北浜製作所株式会社,基本取引契約,2026-04-15,2027-04-14,1600000,更新なし,高橋 直樹,締結済
株式会社白川プロパティ,CTR-26-010,合同会社六本木デザイン,施設管理契約,2026-04-16,2027-04-15,1725000,自動更新,伊藤 彩,更新協議中
株式会社白川プロパティ,CTR-26-011,株式会社東都メディア,業務委託契約,2026-04-17,2027-04-16,1850000,都度更新,渡辺 誠,社内審査中
株式会社白川プロパティ,CTR-26-012,南青山フーズ株式会社,保守契約,2026-04-18,2027-04-17,1975000,更新なし,小林 真由,先方確認中
株式会社白川プロパティ,CTR-26-013,株式会社瑞穂設備,秘密保持契約,2026-04-19,2027-04-18,600000,自動更新,佐藤 陽子,締結済
株式会社白川プロパティ,CTR-26-014,港南リサーチ株式会社,基本取引契約,2026-04-20,2027-04-19,725000,都度更新,鈴木 健太,更新協議中
株式会社白川プロパティ,CTR-26-015,株式会社千代田ソリューション,施設管理契約,2026-04-21,2027-04-20,850000,更新なし,田中 美咲,社内審査中
株式会社白川プロパティ,CTR-26-016,橘建材株式会社,業務委託契約,2026-04-22,2027-04-21,975000,自動更新,高橋 直樹,先方確認中
株式会社白川プロパティ,CTR-26-017,京橋データワークス株式会社,保守契約,2026-04-23,2027-04-22,1100000,都度更新,伊藤 彩,締結済
株式会社白川プロパティ,CTR-26-018,株式会社桜丘ロジスティクス,秘密保持契約,2026-04-24,2027-04-23,1225000,更新なし,渡辺 誠,更新協議中
